name,url,images
Adilette Shower Slides,https://www.adidas.com/us/adilette-shower-slides/G27625.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/81481afa41ce4adea264aaf700990226_9366/adilette-shower-slides.jpg"
Forum Mid Shoes Kids,https://www.adidas.com/us/forum-mid-shoes-kids/IF2676.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3a04f92d334c421b8360557138fc01b3_9366/forum-mid-shoes-kids.jpg"
Monofit Slip-On Shoes,https://www.adidas.com/us/monofit-slip-on-shoes/ID8399.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/486bc482f31b4c59bac14578a1fb61d9_9366/monofit-slip-on-shoes.jpg"
Samba Classic Shoes,https://www.adidas.com/us/samba-classic-shoes/036516.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ecfbfee2964047568af2a59701877ca6_9366/samba-classic-shoes.jpg"
NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GW1481.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a0e43eb9a59a4e88a541ae9300e4490f_9366/nmd_v3-shoes.jpg"
RunFalcon 3 Lace Shoes,https://www.adidas.com/us/runfalcon-3-lace-shoes/HP5840.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b6666b85970f4c4c95cfaf86010d942d_9366/runfalcon-3-lace-shoes.jpg"
Ruffled Skort,https://www.adidas.com/us/ruffled-skort/FI8683.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3edf93402e9a4423bf7eaa9e014b289b_9366/ruffled-skort.jpg"
Camo SST Track Jacket,https://www.adidas.com/us/camo-sst-track-jacket/IP0266.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a7adc3e2a95f46ba972785e00cdcafbe_9366/camo-sst-track-jacket.jpg"
Adicolor Hoodie Set,https://www.adidas.com/us/adicolor-hoodie-set/HK2955.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fcdcfdbc788f45ec8d7cae580140544c_9366/adicolor-hoodie-set.jpg"
Adicolor Trefoil Hoodie,https://www.adidas.com/us/adicolor-trefoil-hoodie/IJ7204.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e7041fb9251848c7b7cd75a45a27238a_9366/adicolor-trefoil-hoodie.jpg"
Two-Piece Long Sleeve Hooded Pullover & Elastic Waistband Jogger Set,https://www.adidas.com/us/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set/IR4015.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7cfc94a3d64548f69f2f6e6620934cb9_9366/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set.jpg"
Adicolor Trefoil Tee,https://www.adidas.com/us/adicolor-trefoil-tee/IJ7179.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d6b3f0f7479b4c2a84466b9dfc680b82_9366/adicolor-trefoil-tee.jpg"
Adicolor Half-Zip Sweatshirt,https://www.adidas.com/us/adicolor-half-zip-sweatshirt/HK0336.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c8c46b48683e4928adcbae5500aaa4ab_9366/adicolor-half-zip-sweatshirt.jpg"
Two-Piece Long Sleeve Hooded Pullover & Elastic Waistband Jogger Set,https://www.adidas.com/us/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set/IR4014.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/355f3db1264b48028ff7181847b84aa0_9366/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set.jpg"
Camo Track Suit,https://www.adidas.com/us/camo-track-suit/IP0261.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/70f82558f335412a805df1a4a2f88675_9366/camo-track-suit.jpg"
Tiro 23 League Pants,https://www.adidas.com/us/tiro-23-league-pants/HS3547.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/517f354b84314553b59baf04009ec143_9366/tiro-23-league-pants.jpg"
Long Sleeve Cozy Furry Pullover Hoodie,https://www.adidas.com/us/long-sleeve-cozy-furry-pullover-hoodie/IR2804.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/870039a9f0fe4f5ea79f7f5e38530089_9366/long-sleeve-cozy-furry-pullover-hoodie.jpg"
Messi 44th Trophy Tee,https://www.adidas.com/us/messi-44th-trophy-tee/JE2037.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/744c6028046846468a43fac8b0583b81_9366/messi-44th-trophy-tee.jpg"
Entrada 22 Shorts,https://www.adidas.com/us/entrada-22-shorts/H57502.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/1bfc20d991224b07add9ada000e62186_9366/entrada-22-shorts.jpg"
adidas Originals x Hello Kitty SST Tee,https://www.adidas.com/us/adidas-originals-x-hello-kitty-sst-tee/IM2256.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/00aa70d02e3a41afb3c91360136c74d1_9366/adidas-originals-x-hello-kitty-sst-tee.jpg"
Adicolor Jumpsuit,https://www.adidas.com/us/adicolor-jumpsuit/HK0284.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4e36b37e15b44d26a392ae61013f54e3_9366/adicolor-jumpsuit.jpg"
Adicolor SST Track Jacket,https://www.adidas.com/us/adicolor-sst-track-jacket/IC3058.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/086f9c7c8aac4d608a67af4c011cab7b_9366/adicolor-sst-track-jacket.jpg"
Adicolor SST Track Jacket,https://www.adidas.com/us/adicolor-sst-track-jacket/IJ7285.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9cde85b586804b4baff27a21c10cc186_9366/adicolor-sst-track-jacket.jpg"
Tiro 23 League Training Jacket,https://www.adidas.com/us/tiro-23-league-training-jacket/HS3523.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/289257e28b4f4adc9f6aaf4e00220bf1_9366/tiro-23-league-training-jacket.jpg"
Adicolor Hoodie Set,https://www.adidas.com/us/adicolor-hoodie-set/H25253.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e6986ab8e7344feaa379ad2800a262e8_9366/adicolor-hoodie-set.jpg"
Manchester United Anthem Jacket Kids,https://www.adidas.com/us/manchester-united-anthem-jacket-kids/IA8556.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2233c0ed14c8443d813bf6e24d813e57_9366/manchester-united-anthem-jacket-kids.jpg"
Adicolor Tee,https://www.adidas.com/us/adicolor-tee/IJ5390.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/221a01c900074c249a3d5bb577cc2205_9366/adicolor-tee.jpg"
Floral SST Track Suit,https://www.adidas.com/us/floral-sst-track-suit/IT7283.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e524eb7c19c746998cbd018c94c0df12_9366/floral-sst-track-suit.jpg"
Two-Piece Printed Glam Tricot Track Set,https://www.adidas.com/us/two-piece-printed-glam-tricot-track-set/IR2936.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/129d517cb60d40b2be8a09d2bedc51d0_9366/two-piece-printed-glam-tricot-track-set.jpg"
Animal Allover Print Crew and Leggings Set,https://www.adidas.com/us/animal-allover-print-crew-and-leggings-set/IJ0743.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/13a6debaafd945cf9b5ce173741fa3e4_9366/animal-allover-print-crew-and-leggings-set.jpg"
Adicolor Cargo Pants,https://www.adidas.com/us/adicolor-cargo-pants/IJ9816.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d71b91a9a84540d790e42b8a3516c001_9366/adicolor-cargo-pants.jpg"
Two-Piece Heather Long Sleeve Hooded Pullover & Elastic Waistband Jogger Set,https://www.adidas.com/us/two-piece-heather-long-sleeve-hooded-pullover---elastic-waistband-jogger-set/IR4016.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f7da46a9473642fb817413dd57180c4a_9366/two-piece-heather-long-sleeve-hooded-pullover---elastic-waistband-jogger-set.jpg"
Adicolor SST Track Jacket,https://www.adidas.com/us/adicolor-sst-track-jacket/GN8451.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/298a90bbce3b4dceb456ac360103711b_9366/adicolor-sst-track-jacket.jpg"
Sunny GOAT Graphic Tee,https://www.adidas.com/us/sunny-goat-graphic-tee/JF4299.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3539c06abfe747d3a59073ddf5b19485_9366/sunny-goat-graphic-tee.jpg"
Camo Pants,https://www.adidas.com/us/camo-pants/IP0274.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/1762d011d6c2499e93f0f21fcadb87ff_9366/camo-pants.jpg"
Hoodie,https://www.adidas.com/us/hoodie/IP3075.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d310114352774dd6be7bb80f8d95242d_9366/hoodie.jpg"
Adicolor SST Track Pants,https://www.adidas.com/us/adicolor-sst-track-pants/GN8453.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/049db17a74454beeb735ac360103c076_9366/adicolor-sst-track-pants.jpg"
Sleeveless Versatile Dress,https://www.adidas.com/us/sleeveless-versatile-dress/IK4597.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f066034b268144e3baf9afb6018a977a_9366/sleeveless-versatile-dress.jpg"
2-Piece Tee & All Over Print Woven Short Set,https://www.adidas.com/us/2-piece-tee---all-over-print-woven-short-set/GB9097.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/78c7927166814819a9b9afb001387f2e_9366/2-piece-tee---all-over-print-woven-short-set.jpg"
Animal Print SST Set,https://www.adidas.com/us/animal-print-sst-set/IB8578.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d83936450b5c4de9a3dfaf6a013b332f_9366/animal-print-sst-set.jpg"
Adicolor Crew Sweatshirt,https://www.adidas.com/us/adicolor-crew-sweatshirt/IJ9814.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/61f44c08cfe941cb9285afc700aa8db4_9366/adicolor-crew-sweatshirt.jpg"
