name,price,description,review_count,avg_rating,scraped_at,color,brand,currency,url,availability
Superstar Shoes Kids,90,, 8,4.9,2023-12-13 11:24:02,Core Black / Core Black / Gold Metallic,Adidas,USD,https://www.adidas.com//us/superstar-shoes-kids/ID7258.html,INSTOCK
adidas x Disney Adilette Comfort Spider-Man Slides,35,, 15,4.9,2023-12-13 11:24:07,Core Black / Cloud White / Better Scarlet,Adidas,USD,https://www.adidas.com//us/adidas-x-disney-adilette-comfort-spider-man-slides/HP7758.html,INSTOCK
AdiFOM Superstar 360 Shoes Kids,50,, 3,4.7,2023-12-13 11:24:09,Core Black / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/adifom-superstar-360-shoes-kids/IG0223.html,INSTOCK
Lite Racer Adapt 6.0 Shoes Kids,42,, 95,4.4,2023-12-13 11:24:14,Core Black / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/lite-racer-adapt-6.0-shoes-kids/IG7240.html,INSTOCK
Superstar Shoes,70,, 648,4.9,2023-12-13 11:24:18,Core Black / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/superstar-shoes/EF5394.html,INSTOCK
Ultraboost 5.0 DNA Shoes,63,, 28,4.8,2023-12-13 11:24:23,Cloud White / Cloud White / Beam Pink F22,Adidas,USD,https://www.adidas.com//us/ultraboost-5.0-dna-shoes/GZ5025.html,INSTOCK
NMD_R1 Refined Shoes,85,, 181,4.6,2023-12-13 11:24:25,Core Black / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/nmd_r1-refined-shoes/H02343.html,INSTOCK
VL Court 3.0 Shoes Kids,55,,,"(None,)",2023-12-13 11:24:28,Grey Three / Cloud White / Grey Two,Adidas,USD,https://www.adidas.com//us/vl-court-3.0-shoes-kids/ID6314.html,INSTOCK
X_PLR Shoes,75,, 1371,4.7,2023-12-13 11:24:31,Icey Pink / Icey Pink / Icey Pink,Adidas,USD,https://www.adidas.com//us/x_plr-shoes/BY9880.html,INSTOCK
Avryn Shoes Kids,48,, 3,4.7,2023-12-13 11:24:37,Cloud White / Zero Metalic / Crystal White,Adidas,USD,https://www.adidas.com//us/avryn-shoes-kids/IG0123.html,INSTOCK
adidas x LEGO® Tech RNR Shoes Kids,80,, 4,4.0,2023-12-13 11:24:40,Core Black / Core Black / Core Black,Adidas,USD,https://www.adidas.com//us/adidas-x-lego-tech-rnr-shoes-kids/ID9529.html,INSTOCK
TERREX Agravic Flow Primegreen Trail-Running Shoes,42,, 74,4.7,2023-12-13 11:24:45,Core Black / Dgh Solid Grey / Solar Red,Adidas,USD,https://www.adidas.com//us/terrex-agravic-flow-primegreen-trail-running-shoes/FZ3319.html,INSTOCK
Kaptir 2.0 Shoes,49,, 170,4.5,2023-12-13 11:24:46,Core Black / Cloud White / Solar Red,Adidas,USD,https://www.adidas.com//us/kaptir-2.0-shoes/Q47215.html,INSTOCK
Lite Racer Adapt 5.0 Shoes,60,, 718,4.7,2023-12-13 11:24:49,Vivid Red S21 / Power Red / Core Black,Adidas,USD,https://www.adidas.com//us/lite-racer-adapt-5.0-shoes/GW4163.html,INSTOCK
Ultraboost 1.0 x Marvel Shoes Kids,112,, 18,4.8,2023-12-13 11:24:54,Vivid Red S21 / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/ultraboost-1.0-x-marvel-shoes-kids/IF0341.html,INSTOCK
Ozelle Shoes,32,, 42,5.0,2023-12-13 11:24:59,Aluminium / Wonder White F21 / Grey One,Adidas,USD,https://www.adidas.com//us/ozelle-shoes/GW1554.html,INSTOCK
Adilette Shower Slides,20,, 1615,4.8,2023-12-13 11:25:00,Core Black / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/adilette-shower-slides/G27625.html,INSTOCK
adidas Originals x Disney Mickey Superstar 360 Shoes Kids,50,,,"(None,)",2023-12-13 11:25:04,Violet Tone F21 / Cloud White / Clear Pink,Adidas,USD,https://www.adidas.com//us/adidas-originals-x-disney-mickey-superstar-360-shoes-kids/IE0682.html,INSTOCK
adidas x LEGO® Racer TR Shoes,42,, 105,4.8,2023-12-13 11:25:08,Shock Blue / Off White / Core Black,Adidas,USD,https://www.adidas.com//us/adidas-x-lego-racer-tr-shoes/GW1876.html,INSTOCK
Superstar Shoes,72,, 6,4.7,2023-12-13 11:25:12,Cloud White / Olive Strata S23 / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-shoes/HQ4287.html,INSTOCK
Adilette Lite Slides,30,, 158,4.8,2023-12-13 11:25:16,Core Black / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/adilette-lite-slides/EG8271.html,INSTOCK
Forum Low Shoes,80,, 2,5.0,2023-12-13 11:25:18,Chalk White / Cloud White / Cloud White,Adidas,USD,https://www.adidas.com//us/forum-low-shoes/ID6861.html,INSTOCK
Grand Court Court Elastic Lace and Top Strap Shoes,50,, 509,4.6,2023-12-13 11:25:26,Cloud White / Matte Silver / Matte Silver,Adidas,USD,https://www.adidas.com//us/grand-court-court-elastic-lace-and-top-strap-shoes/GW6516.html,INSTOCK
Stan Smith Shoes Kids,80,,,"(None,)",2023-12-13 11:25:29,Cloud White / Better Scarlet S23 / Gum,Adidas,USD,https://www.adidas.com//us/stan-smith-shoes-kids/IE8174.html,INSTOCK
TERREX AX2R CF K,46,, 46,4.9,2023-12-13 11:25:32,Wonder Steel / Grey Three / Impact Orange,Adidas,USD,https://www.adidas.com//us/terrex-ax2r-cf-k/IF5703.html,INSTOCK
Campus 00s Shoes,90,, 21,5.0,2023-12-13 11:25:34,Preloved Green S24 / Solar Yellow / Cloud White,Adidas,USD,https://www.adidas.com//us/campus-00s-shoes/IF3967.html,INSTOCK
RunFalcon 3.0 Elastic Lace Top Strap Shoes,50,, 169,4.7,2023-12-13 11:25:39,Lucid Blue / Legend Ink / Cloud White,Adidas,USD,https://www.adidas.com//us/runfalcon-3.0-elastic-lace-top-strap-shoes/HP5871.html,INSTOCK
Samba Vegan Shoes,65,, 210,4.8,2023-12-13 11:25:45,Cloud White / Core Black / Gum,Adidas,USD,https://www.adidas.com//us/samba-vegan-shoes/GZ8349.html,INSTOCK
Swift Run 22 Shoes,63,, 501,4.5,2023-12-13 11:25:49,Core Black / Grey Five / Cloud White,Adidas,USD,https://www.adidas.com//us/swift-run-22-shoes/GW8166.html,INSTOCK
Samoa Shoes,50,, 5,5.0,2023-12-13 11:25:49,Cloud White / Core Black / Blue,Adidas,USD,https://www.adidas.com//us/samoa-shoes/FW3671.html,INSTOCK
Altaventure Sport Swim Sandals,31,, 166,4.9,2023-12-13 11:25:54,Cloud White / Beam Pink / Pulse Mint,Adidas,USD,https://www.adidas.com//us/altaventure-sport-swim-sandals/HQ1282.html,INSTOCK
NMD_R1 Refined Shoes,120,, 333,4.8,2023-12-13 11:25:56,Cloud White / Cloud White / Grey One,Adidas,USD,https://www.adidas.com//us/nmd_r1-refined-shoes/H02334.html,INSTOCK
NMD 360 Shoes,49,, 468,4.5,2023-12-13 11:26:01,Solar Red / Solar Red / Solar Red,Adidas,USD,https://www.adidas.com//us/nmd-360-shoes/GX3316.html,INSTOCK
NMD 360 Shoes,75,, 468,4.5,2023-12-13 11:26:06,Core Black / Cloud White / Scarlet,Adidas,USD,https://www.adidas.com//us/nmd-360-shoes/GY9147.html,INSTOCK
Racer TR21 Shoes,36,, 120,4.7,2023-12-13 11:26:09,Core Black / Cloud White / Sonic Ink F21,Adidas,USD,https://www.adidas.com//us/racer-tr21-shoes/H04211.html,INSTOCK
Swift Run 22 Shoes,36,, 219,4.6,2023-12-13 11:26:13,Cloud White / Core Black / Grey One,Adidas,USD,https://www.adidas.com//us/swift-run-22-shoes/GW8183.html,INSTOCK
Lite Racer Adapt 4.0 Slip-On Shoes,29,, 31,4.6,2023-12-13 11:26:16,Core Black / Core Black / Beam Pink F22,Adidas,USD,https://www.adidas.com//us/lite-racer-adapt-4.0-slip-on-shoes/GW7150.html,INSTOCK
Grand Court 2.0 Shoes,55,, 663,4.8,2023-12-13 11:26:20,Cloud White / Core Black / Core Black,Adidas,USD,https://www.adidas.com//us/grand-court-2.0-shoes/GW6511.html,INSTOCK
adidas x LEGO® Racer TR21 Elastic Lace and Top Strap Shoes,48,, 81,4.7,2023-12-13 11:26:23,Core Black / Core Black / Green,Adidas,USD,https://www.adidas.com//us/adidas-x-lego-racer-tr21-elastic-lace-and-top-strap-shoes/IF2892.html,INSTOCK
Stan Smith Shoes,46,,,"(None,)",2023-12-13 11:26:27,Cloud White / Core Black / Vivid Red S21,Adidas,USD,https://www.adidas.com//us/stan-smith-shoes/HQ1899.html,INSTOCK
